Logged at 29/01/2026 11:28:05 AM - hello successfully login
Logged at 29/01/2026 2:37:19 PM - API: GET /api/farmers/equipments/5/booked-dates | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:19 PM - API: GET /api/farmers/equipments/5/booked-dates | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:31 PM - API: POST /api/rentals/farmer | Status=500 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:34 PM - API: POST /api/rentals/farmer | Status=500 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:37:46 PM - API: POST /api/rentals/farmer | Status=500 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:38:28 PM - API: GET /api/farmers/equipments/2/booked-dates | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:38:36 PM - API: POST /api/rentals/farmer | Status=201 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:38:43 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:38:43 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:39:47 PM - API: POST /api/auth/login | Status=200 | ANONYMOUS
Logged at 29/01/2026 2:39:47 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:39:47 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:39:58 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:39:58 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:39:59 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:39:59 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:40:25 PM - API: PUT /api/rentals/owner/13/approve | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:40:25 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:40:40 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:40:40 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:40:41 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:40:41 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:41:05 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:41:05 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:41:06 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:41:06 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:41:15 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:41:15 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:41:25 PM - API: POST /api/auth/login | Status=200 | ANONYMOUS
Logged at 29/01/2026 2:41:25 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:41:25 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:41:25 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:41:25 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:41:46 PM - API: POST /api/payments/create/13 | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:31 PM - API: POST /api/payments/verify | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:31 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:31 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:38 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:38 PM - API: GET /api/farmers/equipments/available | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:39 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:39 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:42 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:42 PM - API: GET /api/payments/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:43 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:43 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:46 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:46 PM - API: GET /api/farmers/profile | Status=200 | UserId=6, Role=ROLE_FARMER
Logged at 29/01/2026 2:42:46 PM - API: GET /api/rentals/farmer | Status=200 | UserId=6, Role=ROLE_FARMER
